,ID,name,deadline,data_size_GB,type,get_paid_per_hour
131,T131,Abraham,2022-05-10 18:46:36,63,clustering,6
132,T132,Byron,2022-12-20 11:45:14,51,recognition,7
133,T133,Maddie,2022-12-06 08:44:08,83,decision_tree,10
134,T134,Samantha,2022-02-02 00:35:06,44,recognition,6
135,T135,Robert,2022-08-28 12:15:50,52,NLP,8
136,T136,Rafael,2022-07-14 15:23:53,37,classfication,7
137,T137,Alberta,2022-04-02 01:50:40,20,recognition,8
138,T138,Lucia,2022-07-02 20:01:40,35,computation,7
139,T139,Abigail,2022-07-26 16:18:38,97,classfication,7
140,T140,Daryl,2022-08-10 12:28:23,82,CNN,8
141,T141,Paul,2022-06-27 05:34:50,96,decision_tree,6
142,T142,Chloe,2022-06-10 07:11:04,54,clustering,7
143,T143,Abigail,2022-01-07 16:32:04,44,reinforcement_learning,7
144,T144,Sophia,2022-11-24 04:07:33,84,NLP,10
145,T145,Albert,2022-05-16 15:14:52,48,recognition,10
146,T146,Jacob,2022-10-26 12:26:22,27,SVM,9
147,T147,Florrie,2022-06-13 15:06:26,93,computation,10
148,T148,Eddy,2022-02-13 06:16:33,66,reinforcement_learning,5
149,T149,Kellan,2022-02-15 09:18:28,66,clustering,8
150,T150,Edwin,2022-05-12 10:20:59,23,CNN,5
151,T151,Stuart,2022-04-29 16:11:17,41,recognition,8
152,T152,Richard,2022-07-18 16:54:01,54,SVM,6
153,T153,Ryan,2022-12-16 15:59:30,70,regression,9
154,T154,James,2022-08-17 13:46:20,19,decision_tree,7
155,T155,Sofia,2022-12-18 00:10:44,85,clustering,10
156,T156,Byron,2022-09-02 08:46:26,88,SVM,10
157,T157,Lucas,2022-10-16 23:17:54,89,recognition,7
158,T158,Isabella,2022-08-25 10:20:47,61,SVM,8
159,T159,Arianna,2022-12-07 04:25:50,91,classfication,8
160,T160,Sienna,2022-06-06 07:10:01,81,classfication,7
161,T161,Isabella,2022-08-02 05:34:24,62,computation,7
162,T162,Henry,2022-05-09 19:06:28,81,CNN,9
163,T163,Vivian,2022-06-18 16:05:11,67,classfication,5
164,T164,Hailey,2022-03-20 11:59:30,47,recognition,10
165,T165,Alexander,2022-03-25 05:37:26,37,reinforcement_learning,6
166,T166,Adele,2022-03-05 04:44:04,61,reinforcement_learning,7
167,T167,Eleanor,2022-05-23 05:31:27,43,classfication,8
168,T168,Kellan,2022-11-06 06:39:26,8,classfication,5
169,T169,Alfred,2022-02-25 13:33:06,26,recognition,8
170,T170,Aiden,2022-03-09 00:03:01,82,decision_tree,7
171,T171,Rosie,2022-03-11 00:31:29,23,regression,7
172,T172,Kelvin,2022-07-15 00:33:36,50,NLP,9
173,T173,Daisy,2022-01-31 02:57:39,54,SVM,5
174,T174,Aiden,2022-10-13 03:18:15,22,recognition,5
175,T175,Amelia,2022-12-06 17:39:15,81,recognition,9
176,T176,Deanna,2022-09-09 02:45:21,65,CNN,5
177,T177,Sienna,2022-09-15 01:07:30,44,computation,7
178,T178,Richard,2022-06-14 08:26:11,77,SVM,9
179,T179,Tess,2022-08-02 04:00:17,91,clustering,9
180,T180,Abraham,2022-05-28 05:31:15,88,recognition,9
181,T181,Hailey,2022-08-18 13:43:54,85,computation,5
182,T182,Alford,2022-01-02 13:15:16,66,recognition,6
183,T183,Oliver,2022-05-21 01:28:28,34,clustering,5
184,T184,Jacob,2022-03-25 11:45:05,93,regression,7
185,T185,Violet,2022-07-15 13:44:53,41,SVM,8
186,T186,Stella,2022-10-12 10:43:03,62,recognition,9
187,T187,Alen,2022-06-08 20:26:21,28,computation,8
188,T188,Melanie,2022-07-15 15:45:44,83,clustering,10
189,T189,Sam,2022-08-24 04:52:23,26,SVM,7
190,T190,Camila,2022-08-06 08:50:25,71,classfication,5
191,T191,Rosie,2022-09-07 13:51:24,4,reinforcement_learning,10
192,T192,Carlos,2022-09-13 23:39:02,56,computation,7
193,T193,Paul,2022-12-05 09:28:20,59,decision_tree,5
194,T194,Eleanor,2022-03-11 19:51:37,70,computation,9
195,T195,Alen,2022-04-01 16:40:46,17,recognition,6
196,T196,Kellan,2022-01-03 22:43:20,34,computation,6
197,T197,Tess,2022-02-07 06:50:33,82,recognition,9
198,T198,Alina,2022-03-08 09:26:43,8,reinforcement_learning,10
199,T199,Jenna,2022-03-17 09:13:57,13,computation,5
200,T200,Thomas,2022-06-21 12:08:16,52,computation,9
201,T201,Mary,2022-02-12 11:58:50,99,SVM,7
202,T202,Aston,2022-12-28 01:57:20,82,regression,9
203,T203,Alexander,2022-01-24 22:39:19,21,SVM,8
204,T204,Rafael,2022-05-06 17:00:08,92,decision_tree,8
205,T205,Penelope,2022-08-22 14:30:14,9,computation,9
206,T206,Eleanor,2022-10-09 07:12:34,79,decision_tree,8
207,T207,Jasmine,2022-09-29 09:13:14,37,NLP,7
208,T208,Jordan,2022-10-29 13:53:05,56,NLP,10
209,T209,Alford,2022-05-28 07:01:55,100,computation,7
210,T210,Alan,2022-05-06 05:47:03,24,CNN,5
211,T211,Edwin,2022-11-23 11:17:26,66,regression,8
212,T212,Stuart,2022-01-17 04:41:42,7,CNN,8
213,T213,Isabella,2022-03-18 09:28:17,96,classfication,7
214,T214,Rosie,2022-03-30 07:46:37,99,CNN,6
215,T215,Briony,2022-01-30 06:01:39,46,SVM,10
216,T216,Rafael,2022-12-02 12:12:31,4,regression,5
217,T217,Daisy,2022-04-04 03:19:46,81,clustering,10
218,T218,Rafael,2022-03-31 12:37:15,41,decision_tree,5
219,T219,Rubie,2022-10-27 00:09:22,7,computation,7
220,T220,Rosie,2022-06-25 15:57:11,94,CNN,9
221,T221,Kelvin,2022-03-10 08:29:00,67,regression,5
222,T222,Emma,2022-06-23 09:27:47,13,classfication,9
223,T223,Sienna,2022-04-11 20:47:16,80,classfication,10
224,T224,Mary,2022-09-23 06:26:15,94,reinforcement_learning,6
225,T225,Lenny,2022-07-09 20:52:30,51,decision_tree,7
226,T226,Luke,2022-04-09 22:15:05,49,clustering,5
227,T227,Alexander,2022-10-23 13:50:19,62,clustering,7
228,T228,Arthur,2022-10-03 19:46:47,48,regression,9
229,T229,Richard,2022-03-07 02:33:12,51,decision_tree,8
230,T230,Garry,2022-03-06 19:01:36,69,CNN,10
231,T231,Alberta,2022-09-05 16:23:07,14,CNN,5
232,T232,David,2022-12-23 04:16:43,76,recognition,10
233,T233,Agata,2022-02-27 06:07:59,5,decision_tree,7
234,T234,Deanna,2022-01-26 07:21:02,77,decision_tree,5
235,T235,Paul,2022-05-23 00:34:50,98,reinforcement_learning,7
236,T236,Sofia,2022-10-19 20:49:07,27,recognition,8
237,T237,Julian,2022-06-11 12:38:54,33,recognition,10
238,T238,Thomas,2022-11-01 04:40:23,21,regression,6
239,T239,Kate,2022-05-28 04:01:16,96,recognition,8
240,T240,Alfred,2022-10-09 03:06:18,77,recognition,9
241,T241,Amber,2022-05-28 16:47:07,6,reinforcement_learning,7
242,T242,Valeria,2022-05-29 14:18:47,16,CNN,5
243,T243,Lucas,2022-09-01 05:46:32,12,decision_tree,8
244,T244,Elian,2022-06-14 09:13:36,62,regression,5
245,T245,David,2022-10-23 21:30:51,91,SVM,9
246,T246,Kevin,2022-05-12 13:40:11,36,CNN,5
247,T247,Jacob,2022-05-11 08:38:45,29,NLP,6
248,T248,Abraham,2022-07-24 09:44:50,19,classfication,10
249,T249,Adele,2022-06-16 11:24:49,91,recognition,5
250,T250,Chloe,2022-02-01 20:34:04,66,computation,6
251,T251,Jasmine,2022-03-11 03:41:42,92,computation,5
252,T252,Tyler,2022-01-07 22:19:57,26,CNN,8
253,T253,Camila,2022-06-12 19:38:00,70,classfication,6
254,T254,Honey,2022-10-19 14:46:56,54,CNN,7
255,T255,Violet,2022-08-24 15:32:32,95,clustering,10
256,T256,Rubie,2022-03-13 19:51:07,45,SVM,10
257,T257,Sienna,2022-10-09 04:39:06,30,decision_tree,6
258,T258,Sophia,2022-07-16 13:40:23,16,SVM,10
259,T259,Garry,2022-06-15 14:39:36,6,classfication,8
260,T260,Isabella,2022-05-12 03:37:03,26,computation,5
261,T261,Tess,2022-06-25 23:56:11,30,reinforcement_learning,6
262,T262,Byron,2022-02-02 00:14:58,62,SVM,10
263,T263,Amelia,2022-09-19 18:55:26,47,decision_tree,8
264,T264,Audrey,2022-03-15 20:39:26,59,decision_tree,8
265,T265,Michael,2022-05-25 16:14:52,91,regression,8
266,T266,Honey,2022-09-07 07:11:43,100,regression,8
267,T267,Kelvin,2022-01-13 07:48:19,24,reinforcement_learning,8
268,T268,Alford,2022-10-06 18:53:27,98,decision_tree,10
269,T269,Caroline,2022-07-16 01:02:01,46,classfication,9
270,T270,Richard,2022-08-24 09:21:25,65,classfication,9
271,T271,Edwin,2022-07-26 16:45:25,33,NLP,6
272,T272,James,2022-03-09 06:41:19,98,NLP,10
273,T273,David,2022-08-30 03:36:05,69,reinforcement_learning,9
274,T274,Ashton,2022-02-23 09:40:39,36,decision_tree,9
275,T275,Arthur,2022-07-07 23:16:39,10,SVM,10
276,T276,Eleanor,2022-09-24 04:20:15,79,regression,6
277,T277,Rafael,2022-09-10 16:45:56,66,recognition,9
278,T278,Derek,2022-06-29 05:41:03,47,decision_tree,5
279,T279,Stella,2022-03-04 15:37:31,76,reinforcement_learning,10
280,T280,Alberta,2022-03-10 09:04:22,81,NLP,9
281,T281,Michelle,2022-12-17 13:25:08,83,regression,9
282,T282,Kellan,2022-11-01 06:30:23,31,classfication,6
283,T283,Sydney,2022-02-10 02:18:48,94,classfication,9
284,T284,Alen,2022-10-10 11:22:07,10,regression,9
285,T285,Sienna,2022-10-27 19:06:03,38,decision_tree,9
286,T286,Kelvin,2022-10-11 23:25:06,12,decision_tree,10
287,T287,Adele,2022-01-05 19:08:21,31,decision_tree,7
288,T288,Alissa,2022-12-05 08:55:25,86,CNN,9
289,T289,Jacob,2022-11-23 13:54:42,41,reinforcement_learning,9
290,T290,Adele,2022-10-24 11:38:02,25,SVM,6
291,T291,Chloe,2022-03-15 17:18:10,3,regression,8
292,T292,Alexander,2022-11-04 00:29:32,52,NLP,8
293,T293,Rafael,2022-12-20 17:36:06,63,reinforcement_learning,10
294,T294,Kellan,2022-08-17 16:35:34,57,CNN,5
295,T295,James,2022-02-18 13:31:18,67,NLP,9
296,T296,Sam,2022-05-22 05:58:47,13,decision_tree,7
297,T297,Amelia,2022-07-24 02:01:29,8,decision_tree,5
298,T298,Jasmine,2022-09-04 00:57:30,62,decision_tree,5
299,T299,Nicole,2022-07-29 05:56:04,82,NLP,9
300,T300,Rosie,2022-05-23 21:47:04,62,classfication,6
301,T301,Melanie,2022-07-29 19:18:58,31,NLP,9
302,T302,Lucia,2022-07-11 07:40:54,74,SVM,8
303,T303,Nicole,2022-12-30 00:12:57,27,clustering,10
304,T304,Charlie,2022-12-13 15:32:24,22,clustering,10
305,T305,Robert,2022-02-14 12:06:21,83,regression,7
306,T306,Arthur,2022-03-01 18:40:39,90,classfication,9
307,T307,Sofia,2022-12-01 04:13:46,16,decision_tree,9
308,T308,Oliver,2022-02-26 13:47:21,67,reinforcement_learning,6
309,T309,Alen,2022-03-16 19:31:46,36,reinforcement_learning,6
310,T310,Richard,2022-10-29 08:28:36,44,NLP,9
311,T311,Rosie,2022-06-13 09:53:04,13,clustering,8
312,T312,Alexander,2022-09-13 17:22:37,42,decision_tree,6
313,T313,Jacob,2022-10-23 05:51:12,64,reinforcement_learning,5
314,T314,Savana,2022-12-17 18:54:41,22,reinforcement_learning,7
315,T315,Isabella,2022-07-25 10:15:29,13,regression,7
316,T316,Alina,2022-09-01 21:02:13,60,NLP,9
317,T317,Camila,2022-08-18 05:43:16,76,classfication,7
318,T318,Julian,2022-12-06 03:51:05,49,classfication,8
319,T319,Carlos,2022-12-04 10:48:30,60,NLP,8
320,T320,Julia,2022-10-08 14:07:01,13,recognition,8
321,T321,Daryl,2022-01-24 06:34:26,53,decision_tree,10
322,T322,Daryl,2022-02-12 05:18:30,5,CNN,7
323,T323,Valeria,2022-10-31 04:20:03,59,classfication,8
324,T324,Walter,2022-01-14 04:16:02,56,decision_tree,6
325,T325,Connie,2022-04-12 18:32:21,99,recognition,9
326,T326,Stuart,2022-11-23 02:34:52,55,classfication,8
327,T327,Kelsey,2022-07-13 12:12:21,20,decision_tree,7
328,T328,Arthur,2022-07-15 02:09:57,81,SVM,10
329,T329,Ryan,2022-12-20 18:42:54,36,SVM,8
330,T330,Alen,2022-08-09 13:58:09,20,NLP,5
331,T331,Jacob,2022-09-13 06:22:14,83,regression,9
332,T332,Maddie,2022-07-30 07:45:06,65,regression,5
333,T333,Rafael,2022-03-15 02:32:27,63,recognition,6
334,T334,Rosie,2022-11-30 17:46:08,30,NLP,5
335,T335,Myra,2022-10-09 15:48:58,22,reinforcement_learning,8
336,T336,Fenton,2022-07-22 11:38:59,48,computation,6
337,T337,Lucas,2022-01-04 05:34:49,2,computation,10
338,T338,Dainton,2022-04-24 15:29:36,78,CNN,6
339,T339,Mary,2022-02-04 07:33:56,80,clustering,6
340,T340,Paul,2022-08-17 10:23:26,67,decision_tree,6
341,T341,Sabrina,2022-09-04 13:33:13,20,NLP,8
342,T342,Rubie,2022-04-28 23:47:32,12,CNN,8
343,T343,Julia,2022-04-05 18:10:10,19,SVM,5
344,T344,Edwin,2022-04-05 22:28:46,14,classfication,8
345,T345,Connie,2022-09-26 13:10:24,82,computation,10
346,T346,Connie,2022-10-15 17:03:20,21,recognition,6
347,T347,Paul,2022-08-08 07:09:20,41,CNN,9
348,T348,Emma,2022-07-20 07:18:27,23,reinforcement_learning,10
349,T349,Rosie,2022-03-13 07:35:44,53,SVM,7
350,T350,Eleanor,2022-09-26 21:50:04,49,classfication,9
351,T351,Alford,2022-07-28 16:37:43,96,SVM,6
352,T352,Eleanor,2022-07-31 01:06:44,77,clustering,9
353,T353,Eleanor,2022-08-28 20:10:22,62,regression,10
354,T354,James,2022-02-12 13:45:35,64,classfication,10
355,T355,Stella,2022-10-12 06:57:06,63,SVM,6
356,T356,Dexter,2022-09-17 09:07:53,12,computation,5
357,T357,Sienna,2022-06-04 19:24:22,18,regression,6
358,T358,Jasmine,2022-11-07 12:08:31,100,SVM,7
359,T359,Stella,2022-05-21 07:51:51,4,clustering,5
360,T360,Sydney,2022-09-23 19:20:10,10,reinforcement_learning,10
361,T361,Briony,2022-10-16 16:53:48,84,reinforcement_learning,9
362,T362,Madaline,2022-09-08 09:53:06,72,decision_tree,9
363,T363,Oliver,2022-11-23 13:51:54,66,CNN,6
364,T364,Edward,2022-10-05 17:24:46,93,CNN,7
365,T365,David,2022-07-21 13:06:34,71,clustering,9
366,T366,Vivian,2022-09-23 14:53:58,26,recognition,7
367,T367,Eleanor,2022-03-08 04:21:34,80,CNN,5
368,T368,Rosie,2022-09-03 23:58:36,47,CNN,10
369,T369,Daisy,2022-01-27 20:51:32,59,computation,8
370,T370,Michelle,2022-08-01 12:49:12,86,clustering,9
371,T371,Eddy,2022-05-20 13:35:05,12,NLP,9
372,T372,Emily,2022-01-28 22:40:39,23,reinforcement_learning,8
373,T373,Arthur,2022-04-25 16:29:19,76,clustering,10
374,T374,Walter,2022-09-28 16:22:11,33,regression,10
375,T375,Sam,2022-04-07 19:00:57,22,computation,9
376,T376,Vivian,2022-06-07 00:54:12,37,regression,9
377,T377,Alexia,2022-05-26 00:34:30,7,clustering,8
378,T378,Abraham,2022-05-30 08:39:33,60,decision_tree,5
379,T379,James,2022-09-04 14:57:11,89,classfication,7
380,T380,Nicholas,2022-07-12 21:31:56,44,SVM,10
381,T381,Ellia,2022-09-25 13:01:22,5,NLP,10
382,T382,Valeria,2022-12-08 17:24:53,22,CNN,8
383,T383,Daryl,2022-05-20 05:29:40,36,regression,6
384,T384,Emma,2022-12-02 14:41:50,63,SVM,8
385,T385,James,2022-10-30 08:34:20,8,SVM,6
386,T386,Alexander,2022-09-06 07:37:28,37,regression,8
387,T387,Lucy,2022-12-18 12:36:12,84,computation,8
388,T388,Madaline,2022-01-09 09:22:31,18,classfication,7
389,T389,Hailey,2022-03-14 10:16:07,89,SVM,9
390,T390,Jordan,2022-10-21 22:24:56,20,NLP,8
391,T391,Blake,2022-11-01 04:40:59,49,recognition,10
392,T392,Dexter,2022-04-11 17:22:46,10,recognition,9
393,T393,Savana,2022-02-17 14:18:47,43,classfication,8
394,T394,Sarah,2022-03-18 21:50:52,5,classfication,5
395,T395,Dexter,2022-04-16 21:56:25,63,NLP,6
396,T396,Rafael,2022-08-26 02:14:23,21,clustering,10
397,T397,Eleanor,2022-05-24 03:29:40,98,NLP,8
398,T398,David,2022-02-20 22:01:40,66,CNN,6
399,T399,Isabella,2022-08-22 23:52:49,97,CNN,5
400,T400,Hailey,2022-09-23 01:34:50,40,reinforcement_learning,6
401,T401,Lucy,2022-12-16 04:53:02,68,clustering,5
402,T402,Sienna,2022-02-26 09:56:30,55,clustering,9
403,T403,Jacob,2022-05-22 16:16:07,31,CNN,6
404,T404,Sam,2022-05-30 02:03:07,71,clustering,6
405,T405,Blake,2022-02-25 13:34:13,25,CNN,8
406,T406,James,2022-06-24 23:19:50,85,SVM,5
407,T407,Briony,2022-09-24 03:56:59,98,decision_tree,6
408,T408,Sydney,2022-01-04 21:20:21,96,NLP,9
409,T409,Kellan,2022-02-19 07:30:49,54,NLP,10
410,T410,Michelle,2022-02-04 15:02:22,61,clustering,5
411,T411,Rubie,2022-01-19 15:36:54,57,decision_tree,5
412,T412,Alexander,2022-04-20 04:38:30,72,recognition,8
413,T413,Sydney,2022-06-25 23:56:20,65,classfication,10
414,T414,Mary,2022-11-11 09:43:49,56,NLP,10
415,T415,Kristian,2022-05-22 07:07:47,51,decision_tree,8
416,T416,Sienna,2022-01-31 17:29:22,70,reinforcement_learning,8
417,T417,Sam,2022-07-02 04:00:03,20,regression,5
418,T418,Alexander,2022-10-16 14:36:02,26,computation,6
419,T419,Florrie,2022-12-18 12:09:02,30,reinforcement_learning,5
420,T420,Tess,2022-06-27 18:54:14,54,NLP,7
421,T421,Leonardo,2022-07-25 19:58:21,67,CNN,7
422,T422,Kelvin,2022-08-13 17:34:58,24,CNN,8
423,T423,Stuart,2022-02-25 07:53:20,4,clustering,5
424,T424,Julian,2022-03-02 05:47:53,54,SVM,10
425,T425,Briony,2022-04-09 08:17:29,43,recognition,8
426,T426,Rafael,2022-08-23 00:06:44,67,classfication,6
427,T427,Sienna,2022-07-09 15:08:46,32,reinforcement_learning,8
428,T428,Luke,2022-01-19 04:08:46,49,decision_tree,7
429,T429,Kelvin,2022-04-26 00:53:22,46,NLP,6
430,T430,Kevin,2022-12-14 20:45:49,49,reinforcement_learning,6
431,T431,Stella,2022-12-16 22:32:26,84,SVM,10
432,T432,James,2022-05-30 00:04:13,90,decision_tree,8
433,T433,Lydia,2022-04-26 09:42:01,74,classfication,8
434,T434,Nicholas,2022-07-24 06:15:19,93,clustering,8
435,T435,Aiden,2022-02-23 11:56:19,34,computation,6
436,T436,Julia,2022-04-01 02:54:34,35,recognition,9
437,T437,Edwin,2022-12-27 22:53:34,3,recognition,9
438,T438,Sophia,2022-10-07 23:14:14,40,SVM,6
439,T439,Edwin,2022-07-19 16:37:59,23,classfication,6
440,T440,Maddie,2022-10-26 08:25:24,68,clustering,5
441,T441,Mary,2022-07-03 22:46:09,3,decision_tree,10
442,T442,Lucy,2022-04-03 00:40:27,49,reinforcement_learning,7
443,T443,Dexter,2022-04-25 15:10:49,78,SVM,9
444,T444,Camila,2022-08-09 01:31:35,63,regression,5
445,T445,Nicholas,2022-08-15 15:46:03,76,clustering,9
446,T446,Kelvin,2022-02-17 16:39:28,31,clustering,6
